景点名称,美食评分,人均消费,地址,推荐菜,评价
廊桥THE BRIDGE,4.5,698,锦官驿街道滨江东路66号(近香格里拉酒店),"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",川菜注入岁时料理概念，养眼菜式道道精妙
皇城坝小吃(锦华万达店),4.2,28,二环路东五段29号锦华万达广场3楼,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",颇有名气的小吃店，食客络绎不绝
芭夯兔(宽窄巷子店),4.4,65,商业街慧德商厦二楼284号（成都银行二楼）,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",一家店，让你尝遍兔子的各种吃法
乐山钵钵鸡(锦里店),4.4,12,九品街14号,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",童年的味道｜太古里新晋巨巨巨好吃的乐山炸串
韩包子(高升店),3.7,26,四川省成都市武侯区高升桥东路5号附3号,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
武侯首席·锦里味道,5,190,武侯区武侯祠锦里二期3号院,"麻婆豆腐	干烧辽参	宫保鸡丁	椒香雪花牛肉	凉拌桃仁	甲鱼	兔肉	毛血旺	担担面	虫草海参	干烧辽参双味鸡	水煮牛肉	大门	赖汤圆	小吃套餐	鱼香肉丝	仔姜辣米蛙	牛排	钟水饺	猪颈肉	串串	拌凉粉	川味鲍鱼那道菜	都喜欢",成都的小伙伴说现在很难吃到正宗的赖汤圆了，都变了味，以前，赖汤圆个头极大，而且每个都是不一样的...
新繁牛肉豆花(落虹桥街店),3,136,锦江区落虹桥街市二医院附近,"皮蛋牛肉	香辣里脊	牛肉豆花	酱爆里脊	酱爆肉花",水晶饺子，外皮薄透如水晶，内馅鲜嫩多汁，吃起来Q弹爽滑，是宴席上的美味佳肴。
李记糖醋,3.8,20,锦江区 南纱帽街,"排骨	饺子	里脊",红烧茄子，茄子吸满了浓郁的酱汁，软嫩多汁，入口即化，是家常菜的代表作。
御膳宫养生餐厅(春熙路店),4.4,92,总府路1号-3楼、4楼,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",带着淡淡的中药材香味的养生汤，营养美味
邓氏兔头,4.2,49,一环路北二段102号西侧(近白马寺),"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",小窗口内香气悠远，麻辣兔头鲜香过瘾。
四川音乐学院新都校区食堂,4,86,新都区蜀龙路四川音乐学院内,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",卫生也做得非常好，地板都能照出人来，每天有数千名学生在这里就餐，所以要错开饭点，不然太难等了，...
必胜客(新科华店),4.6,78,科华中路9号王府井购物中心一层(近二环路),"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
永久王鲶鱼(一品天下店),4.5,47,金牛区蜀汉路243号一品天下大街A区2栋,"凉拌兔丁	白味鲶鱼	豆花	大蒜烧鲶鱼	炒河粉	蟹黄豆腐	麻辣鲶鱼	凉拌木耳	豆腐花	美容菜	竹笋烧牛肉	三角峰	家常鲶鱼	大蒜鲶鱼泡	烧鱼泡",鲇鱼味道很好，吃完记得让服务员再加凉粉和魔芋煮。
曾牛肉,4.1,95,青羊区 金沙遗址附近,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
王妈手撕烤兔,4.5,48,二环路西二段295号,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
全家福芋儿鸡(向阳街总店),4.5,58,华阳双华府河向阳街59号(近双华桥),"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",红油喷香，芋头香糯，鸡肉酥烂
粤香村(人民公园店),5,85,东城根南街66-68号,"豉椒牛肉, 白灼虾, 草鱼豆腐汤, 肉末粉蒸, 蒸蛋羹",牛羊入馔香气飘飘，多年传承手艺正统
文杏酒楼(一品天下店),4.5,118,一品天下大街132号,"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",颇有年头的宴席圣地，文杏鸡香醇味厚。
自贡芭夯兔(双流店),5,57,双流县弘民美食街,"菌锅	菌汤锅",吃“腻”了“麻辣”的火锅，不妨试试这里“清淡”的兔火锅——汤底“黄澄澄”的，看着“就有食欲”，尝一口“真鲜美”；兔肉“…
海悦酒店-圣悦庭西餐厅,5,95,红星路三段步行街12号海悦花园大酒店8A楼,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",香煎牛排，采用进口牛肉，煎制得外焦里嫩，撒上少许海盐，搭配一勺黑胡椒酱，让人直呼过瘾。
文记糕点铺(置信北街店),3.7,24,浆洗街街道置信北路1号附10号(近人人乐),"三鲜炒面, 泡菜炖豆腐, 蒜蓉西兰花, 红烧牛肉面, 清蒸鲳鱼",担担面，面条筋道，酱香浓郁的担担面酱让整碗面条充满四川特色风味。
聚米餐厅(春熙店),4.4,56,小科甲巷1号6层,"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",黄焖排骨，排骨炖得软烂入味，浓厚的酱汁包裹着每块肉，是无法抗拒的美味。
普拉那啤酒坊餐厅,4.8,186,人民南路四段42成都凯宾斯基饭店1层,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",好吃的肉料理，烤猪肘爽翻天！自酿啤酒口感棒！
印度菜菜(沸城店),4.5,64,武侯区科华北路60号沸城1楼40-43号,"马撒拉土豆菜花	咖喱鸡肉	马撒拉咖喱鸡肉	土豆花菜	咖喱	烤饼	印度奶茶	碳烤鸡	糥香布丁	传统烤饼	印度米饭	咖喱茄子	招牌咖喱牛肉	印度传统烤饼	酸奶	孜然土豆	金牌咖喱鸡肉	咖喱牛肉	咖喱羊肉	菠萝咖喱虾	黄油烤饼	克什米尔烤饼	印度烧茄子	印度酸奶",酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
格林妙可鲜奶生活(元华二巷店),4.6,20,元华二巷68号附1号(近紫荆电影城),"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",香辣螺丝，螺丝肉经过长时间的炖煮，完全吸收了麻辣汤汁，鲜美的滋味让人一颗接一颗。
DQ(成都锦里店),4.6,27,武侯祠大街231号,"辣子鸡, 鱼香肉丝, 拔丝地瓜, 辣椒炒肉, 炸鸡排",DQ最爱的便是暴风雪系列，每次进来，也都是非它莫属，尤其是奥利奥口味，更是心头爱，再添一份华夫...
老妈火锅粉(杨柳河街店),4.3,20,杨柳河街56号(白果巷),"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
香东东耗儿鱼,3.9,60,锦江区 二环路东五段,香东东耗儿鱼,鱼香肉丝，细嫩的肉丝与酸甜口的酱汁完美融合，搭配脆嫩的青椒和胡萝卜丝，清爽又解腻。
富力丽思卡尔顿酒店大堂吧,4,87,锦江区顺城大街269号(近富力中心),"传统下午茶	黄花鱼	马天尼	玫瑰花茶	意式下午茶	松饼	香浓咖啡	青口	牛排	刺身",蒜泥白肉，薄薄的肉片蘸满了浓郁的蒜泥酱汁，肥而不腻，搭配青葱和辣油，每一口都刺激着味蕾。
青菜元子,3.5,40,青羊区 同盛路64号(近金沙遗址),"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
司令兔丁面食,4,14,四川省成都市青羊区文庙西街6号附10号,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",奶香玉米，粒粒玉米浸泡在浓郁的奶香中，入口甜美，回味悠长。
自贡好吃客(蓝天小区店),4.3,40,武侯区 科华中路蓝天小区长荣路1号副7号,"跳水蛙	冷锅鱼	鳝鱼",金针菇肥牛卷，肥牛肉包裹着细长的金针菇，经过涮煮后鲜嫩多汁，蘸上特制酱料，更是美味。
崇州余荞面(落虹桥店),4.6,14,落虹桥街12号附9号,"鱼片, 茼蒿, 豌豆尖, 鱿鱼, 牛肉滑",担担面，面条筋道，酱香浓郁的担担面酱让整碗面条充满四川特色风味。
清水荷花素食餐厅(文殊坊店),4.5,61,文殊坊金马巷广场,"豉椒牛肉, 白灼虾, 草鱼豆腐汤, 肉末粉蒸, 蒸蛋羹",素食餐厅，环境清幽安静，菜品精致，服务很好。
王妈手撕烤兔(华阳直营店),4.9,63,四川省成都市正东上街114号(中国银行正对面),"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",...元，烤玉米是5元一根，因为玉米和兔子是一起烤的，所以还吸收了一些兔子的香味，属于比较特色的口感
狮子楼(人南店),3,189,人民南路四段30号(近美领馆),"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",当地人的宴饮圣地，中式装修华丽大气。
乐山刘记烧烤(郭家桥店),5,32,武侯区郭家桥西街3号附5号,"茄子	鲫鱼	翅中	凤尾	里脊	烤藕片	五花肉	脑花	烤猪皮	土豆	烤茄子",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
绝城芋儿鸡(红枫岭店),4.2,54,建设南路166号,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
胖哥烧烤,4.3,60,锦江区 华润路,"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",香辣毛血旺，各种食材漂浮在红亮的汤底中，麻辣鲜香，每一口都让人酣畅淋漓。
万州烤鱼(袁师傅万州烤鱼),4.4,77,青羊区 狮子巷66号,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
青羊宫里茶座,3.5,136,青羊正街宫内,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",炭烤生蚝，生蚝外壳透着炭火的香气，肉质鲜嫩多汁，蒜香扑鼻，让人垂涎三尺。
成都环球中心天堂洲际大饭店·天堂岛池畔餐厅,4.8,199,环球南路成都环球中心天堂洲际大饭店1楼,"冰淇淋	海鲜	火爆辣鸡香蒜披萨	布朗尼	Cremeux Vanille	拿破仑	冬阴功汤	水果	羊排	龙虾",开放式厨房设计感十足，可品尝世界各地佳肴
巴夯兔(玉泉街店),4.2,89,青羊区 玉泉街,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",蒜泥白肉，薄薄的肉片蘸满了浓郁的蒜泥酱汁，肥而不腻，搭配青葱和辣油，每一口都刺激着味蕾。
蜀中吴养生板栗鸡(大丰店),4.3,102,大天路与商贸大道交叉口北行80米路东,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",油泼面，手工拉制的面条上淋满滚烫的油泼辣子，香气扑鼻，简单却让人欲罢不能。
重庆老字号千碗面(光荣北路店),4.1,14,光荣北路26号附12号（近为民新村）,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
宽窄堂会,5,75,宽窄巷子3号,"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",油泼面，手工拉制的面条上淋满滚烫的油泼辣子，香气扑鼻，简单却让人欲罢不能。
中兴王肥肠(中兴店),3,49,四川省成都市都江堰市北街76号,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
绝城芋儿鸡(玉林店),4,44,玉林南路48号(成都银行对面),"芋儿鸡	芋儿鸡爪	心太软	串串	芋儿	培根薯条	葡萄啤酒	卤鸭舌	火锅鱼	中锅鸡	南瓜饼",绝城芋儿鸡是成都一家十分著名的川菜，当地人的美食首选之一。采用独家秘制锅底，加入多种香料药膳调制，麻辣浓郁不失特色。
南方,3.6,73,锦江区 东门大桥(近何师烧烤),"烤羊排	pizza",红烧茄子，茄子吸满了浓郁的酱汁，软嫩多汁，入口即化，是家常菜的代表作。
汉轩祖母炖品(双楠店),3.5,79,武侯区 广福桥北街8号附22号,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
古馥轩茶艺馆,3.5,86,郫县一里阳光小区(近长青路),茶艺,干锅土豆片，土豆片经过高温翻炒，外皮焦脆，内里软糯，吸收了干锅的香料精华，是一道难以抗拒的佳肴。
须尽欢(高升桥店),4.7,41,广福桥街30号附22号(近罗浮世家5号门),"腊肉炒饭, 蒜蓉粉丝蒸扇贝, 香煎牛排, 豆芽, 花生米",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
精食有方中式营养快餐,4.7,71,青羊区 陕西街106号附3号,"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
麒麟胖哥火锅食府(双流店),4.6,108,金河路3999号香邻春天小区旁,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",风味小龙虾，小龙虾肉质Q弹，风味麻辣的汤汁包裹着每只虾，让每一口都充满惊喜。
一点味(新会展店),3.5,22,双流县天府大道中段177号(骄子世纪天鹅湖19栋),"卤肉饭	泡椒牛腩饭	豆豉排骨饭	红烧肉饭",糖醋排骨，外皮酥脆，糖醋比例调和得恰到好处，酸甜味中透着一丝肉香，简直是米饭杀手。
二孃鸡爪爪(双楠店),4.2,49,置信路2号附2号(置信路与天乐街交口东北角),"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",鸡爪爪和兔头很好吃，软糯微辣，一泯就脱骨，骨头能吃。他家菜品还算可以，价格便宜，味道很好吃
星巴克(成都倍特店),4.3,40,青龙街51号倍特康派一楼,"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",抹茶星冰乐，上面是奶油，下面是抹茶的冰沙，抹茶味很正宗，很不错，芒果西番莲有点带酸，没有什么芒果味了
全家福芋儿鸡(簇桥店),4,42,簇桥龙井东街手机一条街(近簇桥公园),芋儿鸡,“名声在外”的一家店。“从小铺面一直开到现在”，味道“还是那么巴适”。芋儿鸡“值得一试”，皮“弹牙”，肉“鲜嫩”、“入…
三国烤肉,5,0,武侯区 紫荆北街85号大世界商业广场内,烤五花肉,生意很好，人均消费也不贵，可以团购，中午去的，生意都比较好，估计晚上生意更好，肉类还是比较新鲜...
张烤鸭·川菜·冒烤鸭(青石桥店),4.5,77,古卧龙桥街青石桥室内农贸市场第3层1号,"豉椒牛肉, 白灼虾, 草鱼豆腐汤, 肉末粉蒸, 蒸蛋羹",老成都人的舌尖记忆，川式冒烤鸭滋味独特
元祖(新津店),3.5,104,新津县五津南路3号加(建设银行旁),"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",烤茄子，茄子的外皮焦脆，内里柔软，刷上一层秘制蒜蓉酱，口感醇厚又不失清香。
必胜客(站华店),3.8,82,站华路9号,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",非常好的位置，只是餐厅面积比较小，客人又很多，新出了很多的新品还不错，炬饭很不错，还有披萨也好...
军屯锅盔(集萃街店),4.5,7,成都市新都区集萃街巨获花园南侧约130米,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",风味小龙虾，小龙虾肉质Q弹，风味麻辣的汤汁包裹着每只虾，让每一口都充满惊喜。
蓉咖啡,4.7,144,锦江区 滨江东路9号香格里拉大酒店1楼 -6888,"三文鱼	巧克力喷泉	叉烧	咖喱	甜点	甜品	寿司	虾饺",烤茄子，茄子的外皮焦脆，内里柔软，刷上一层秘制蒜蓉酱，口感醇厚又不失清香。
厕所串串(桂王桥北街店),4.5,32,书院街街道桂王桥北街4号(近玉沙路),"排骨, 鱼皮, 酥肉, 酸梅汤, 肚子鸡",生意也挺好的，四川的啦比江西的辣要好吃！超级多！要提前预约。meituan 很实惠哦
爱达乐(成都橡树林店),4.5,22,四川省成都市锦江区橡树林路140、142号一楼,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",亲民价、松软面包、多款吐司、甜咸口感都有。
上井精致料理(科华王府井店),4,267,科华中路2号王府井百货4层(近天府汇城广场),"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",精致的日式自助餐厅，菜品现点现做。
爱达乐蛋糕(锦兴店),4.6,17,四川省成都市锦江区锦兴路60号附7号,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",抹茶味浓郁，蛋糕包装精美，服务周到，面包新鲜多样。
蜀地卤吧,4,105,武侯区 武侯祠大街63号,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
天乐自助烤肉店,3.8,61,龙门中街81号(近天庆街),"抹茶泡芙, 香草黑曲奇泡芙, 香草酥皮泡芙, 宇治抹茶曲奇, 香草泡芙",酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
矮子馅饼(青羊店),3,12,草堂街道一环路西二段43号附3号(近四川省人民医院),"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",...青羊店），看招牌也是电视台采访推荐的店家，第一天去青羊宫路过时就看到大排长龙，今日赶早买个尝尝
崇州荞面铺盖面,3.9,7,锦江区 青石桥(近财富中心),铺盖面,藤椒鸡，鸡肉浸泡在特制的藤椒汤中，肉质嫩滑，藤椒的麻香味扑面而来，是夏日解腻的好选择。
GANSO元祖食品(中医学院店),4.2,95,一环路西三段1号,"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
巧思面包坊(磨子桥店),3.6,5,武侯区 磨子桥十字路口,"泡芙	老婆饼	三色包	包子	面包	蛋塔	蛋挞	绿豆饼",藤椒鸡，鸡肉浸泡在特制的藤椒汤中，肉质嫩滑，藤椒的麻香味扑面而来，是夏日解腻的好选择。
四方阁酒楼(玉琢金沙店),4.6,82,黄忠路10号,"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",以川式家常菜为主，服务周到
成都世纪城天堂洲际大饭店·廊桥咖啡厅·海鲜自助餐厅,4.9,214,世纪城路88号世纪城天堂洲际大饭店1楼(近成都世纪城新国际会展中心),"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",将自然造景引入室内，自助餐食品质在线
小乔过桥米线(德盛路店),4.3,20,四川省成都市青羊区德盛路38号附3号,"三鲜炒面, 泡菜炖豆腐, 蒜蓉西兰花, 红烧牛肉面, 清蒸鲳鱼",孜然羊肉，切片的羊肉搭配浓郁的孜然香气，肉质鲜嫩又多汁，辛香四溢，完美的烧烤经典。
红星兔丁(西门店),4.3,37,花牌坊街172号附4,"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
守屋寿司(青石桥店),4,16,锦江区学道街113号附7号(近青石桥海鲜市场),"玉米沙拉寿司	鳗鱼寿司	海鲜综合	蟹籽寿司	玉米沙律	章鱼军舰	超樱卷	北极贝寿司	鳗龙卷	综合寿司	团购的单人套餐	寿司套餐	章鱼军舰寿司	加州卷	鳗鱼	海鲜综合寿司	天妇罗	虾手卷	章鱼寿司	鳗鱼手卷	三文鱼寿司	玉米寿司	加州	花寿司",平价寿司店。寿司“现做”，种类“很多”。米“QQ的”，鳗鱼、蟹籽口味的都“挺新鲜”，综合寿司“最划算”，酱油和芥末品质也…
东风川菜馆(芝龙商城店),3.8,64,四川省成都市龙泉驿区芝龙步行街音乐广场芝龙商城1号楼,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",鱼香肉丝，细嫩的肉丝与酸甜口的酱汁完美融合，搭配脆嫩的青椒和胡萝卜丝，清爽又解腻。
成都世纪城假日酒店-西楼·火舞泰·泰式海鲜火锅餐厅,4.7,147,石羊街道世纪城路208号成都世纪城假日酒店西楼19楼,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",从原产地取材，还原正宗泰式火锅
北大铺盖面(太升北路一店),3.6,7,青羊区 太升北路23号附8,"酸菜铺盖面	排骨铺盖面	杂酱铺盖面	鸡杂铺盖面	牛肉铺盖面",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
岷山饭店芝芝餐厅,4.5,146,锦江区人民南路二段55号岷山饭店1楼,"冒菜	三文鱼骨系列	烧烤	墨鱼仔豆腐	海鲜	布丁	扇贝粉丝	麻辣烫	钵钵鸡	刺身	三文鱼	黑椒牛扒	各种甜点	甜点	排骨	寿司	甜品	柴鱼片海白菜	担担面	鸡翅	茶点	小黄鱼	极品三文鱼	蛋糕",水煮鱼，鲜嫩的鱼片漂浮在麻辣红油汤中，豆芽和金针菇吸满汤汁，舌尖的麻辣爽感让人停不下来。
蜀滋香鲜鱼火锅(万象城店),4.5,67,双桥路33号,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",鱼火锅辣而不燥、油而不腻
全享砂锅居(新光路店),4,32,四川省成都市武侯区新光路5号（家乐福大世界对面）,"苦瓜炒蛋, 炒苦瓜, 香煎鸡排, 家常炒豆角, 粉蒸排骨",...上还有一家“砂锅居”，每样菜都是在砂锅里熬制的，有红味儿有白味儿，适合各种口味的人，味道很不错
鸡汤铺盖面,3.7,8,金牛区群星路130号(近西南交大北门),"牛肉盖浇	铺盖面	鸡汤铺盖面	豆汤饭	凉糕	鱼香肉丝炒饭	排骨豆汤","面上来了，诱人的干料色彩，搭配着雪白的面条，看着就很有食欲！
以前还真的没见过铺盖面呢"
聂三耳鹅肠火锅,3.9,109,近郊 洪河大道,"辣子鸡, 鱼香肉丝, 拔丝地瓜, 辣椒炒肉, 炸鸡排",水煮鱼，鲜嫩的鱼片漂浮在麻辣红油汤中，豆芽和金针菇吸满汤汁，舌尖的麻辣爽感让人停不下来。
新疆和田玉都大胡子快餐,3,27,武侯区董家湾北街23号附1号,"大饼	烤肉串	3元烧烤	辣羊肉串	馕看着还可以",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
黄伞肺片(青羊小区店),5,27,四川省成都市金牛区青羊东二路85号,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",黄焖牛肉，牛肉经过长时间炖煮，软烂入味，搭配浓郁的汤汁，是下饭的绝佳选择。
滋味烤鱼店(超洋店),4.5,68,武侯区超洋路1号香槟梧桐9号楼1楼A-02号,"泰香鸡	烤黔鱼	烤鱼	梅子酒	培根薯条	水果稀饭	啤酒兔	烤羊蹄	黑椒羊肉	豆豉味烤鱼	河边烤虾	黑啤	牛肉上上签	水中花	烤虾	烤排骨	香辣排骨	水果粥	排骨	鱿鱼须	香辣烤鱼	双脆	薯条	黑啤酒",...，分量是很足的，推荐麻辣、香辣以及豆豉味道，烤鱼皮微脆，里面的鱼肉非常入味又不会很咸，十分推荐
良木缘咖啡西餐(优品道广场店),4.4,103,青羊大道99号优品道广场,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
珍奶会所(华阳店),4.8,114,近郊 双流县华阳镇华阳大道300号,"清蒸鲈鱼, 烧白菜, 酸辣土豆丝, 糖醋排骨, 青椒牛柳",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
紫龙烧烤,3.5,43,青羊区贝森路288号附11-12(四威北路),"扇贝	春芽烤鱼	鸡中翅	豆腐皮	鸡皮	郡肝	五花肉	香辣圣子	掌中宝",奶香玉米，粒粒玉米浸泡在浓郁的奶香中，入口甜美，回味悠长。
豪客来牛排(罗马假日广场店),4.5,77,高升桥东路6号13栋201罗马假日广场2楼,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",豪客来店铺的环境还不错，每一家豪客来的装饰都差不多，服务也不错，有自助的水果可以吃，水果有西瓜...
廖记棒棒鸡(华油店),4.1,23,四川省成都市成华区泰安街6号撷英卉苑底商,"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
雅风堂花园餐厅,4.1,72,中学路22号附1号(华西医院旁),"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",红烧狮子头，肉质细腻，酱汁浓厚又不失鲜美，入口即化的感觉让人忍不住一口接一口。
葡萄园咖啡厅,3.5,50,温江区南熏大道四段174号(近西南财经大学柳林校区),"蔬菜沙拉	奶昔	玉米浓汤	奶茶	芝士焗肉酱面	水果沙拉	牛排	炒年糕	熏肉蘑菇披萨	芝士焗土豆泥	香辣牛肉披萨	海鲜焗饭	培根面	黑椒牛柳披萨	披萨	意式蔬菜汤",孜然羊肉，切片的羊肉搭配浓郁的孜然香气，肉质鲜嫩又多汁，辛香四溢，完美的烧烤经典。
乔记滇味过桥米线,3.4,19,群星路90号(近交大北门),"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
福建沙县小吃,5,7,成华区 多家连锁店,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",特别是在学校附近，每次来这里都会吃海鲜馄饨，馄饨不大，比较小一个，里面有紫菜，虾米，味道挺不错...
江油肥肠店,3.7,16,武侯区 新南路88号,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",黄焖鸡米饭，鸡肉鲜嫩，酱汁浓厚，米饭吸满了汤汁，每一口都是满足的体验。
